158	1	1489
1979	0	2153
1980	0	1847
2444	15	1581
281	3	1164
1700	1	1553
2256	1	324
713	10	2527
130	2	637
2402	1	1489
2256	14	538
1563	26	2163
1110	0	681
900	1	1424
2065	6	1170
2223	1	2242
1417	10	1631
237	1	1586
1644	31	109
1201	6	2037
1905	2	2361
2325	14	1512
2574	0	2027
1469	6	2520
2606	13	359
33	14	2139
1165	11	579
2398	14	2450
550	1	1424
245	23	112
1638	0	1847
2037	7	310
1178	0	716
501	8	2136
1700	1	1599
1417	10	2512
2566	6	2037
2460	12	1853
265	7	591
2283	30	623
2272	1	324
1760	4	817
2336	13	359
173	2	637
2023	31	1475
1859	7	1553
1855	0	681
2342	14	2124
1218	0	681
833	16	591
2371	14	10
2476	1	1489
2599	33	808
242	4	247
2023	31	726
1291	1	591
502	0	1419
1777	4	408
2119	13	379
1281	0	601
1275	1	1553
595	14	547
350	1	591
783	13	398
2415	0	523
739	1	1424
2342	1	2283
373	14	749
1976	6	1144
1498	0	89
2307	3	1922
1201	6	2257
1884	6	538
314	0	2438
105	13	505
1291	1	2485
2293	1	1599
2146	1	1232
1666	1	1424
871	16	1553
964	1	324
2017	1	324
2662	6	10
2443	19	2124
1495	14	2124
2252	1	324
1730	6	2136
393	20	1655
809	1	1586
1178	0	1645
1396	0	2438
607	6	49
2250	1	1626
2332	1	310
784	0	1397
1394	0	735
1495	14	533
2094	9	379
1425	0	1367
424	27	175
781	14	2257
2668	2	315
1999	14	1512
1317	1	1553
2595	23	225
1541	1	1553
828	14	547
1677	25	2520
1677	7	1232
1326	4	408
2307	1	1553
395	23	175
313	1	1232
709	1	310
407	1	1553
509	16	1553
1921	1	1553
1030	1	324
1829	1	591
2402	6	2136
1481	28	167
105	12	251
2214	0	1419
739	1	1586
2339	13	487
2527	3	669
1506	6	2037
1439	3	2186
1562	29	723
2521	6	576
2146	1	324
2104	0	1847
350	1	324
1666	1	310
2480	1	1669
2664	2	315
1291	1	1553
720	7	324
2629	23	175
711	0	89
1352	2	623
2506	1	2485
904	28	440
1049	6	2037
1501	6	2450
1799	0	1851
427	14	1219
746	2	334
1549	1	1599
1396	14	2037
2119	0	1847
313	1	1599
2402	6	2139
1801	1	310
2376	2	334
1581	7	591
350	1	1586
602	1	1424
2237	30	334
1442	0	1397
212	14	2450
887	1	324
729	1	310
1533	14	2520
214	11	771
1447	14	2520
177	14	2124
821	6	10
2038	0	2153
1337	19	2124
2444	15	2457
602	1	1232
628	4	1529
2430	1	1553
1091	1	1553
2293	1	1553
314	3	2440
1481	28	146
2018	0	1645
1700	1	770
1663	2	334
1218	0	1043
1451	11	1829
2405	1	517
224	33	647
173	2	334
100	29	725
2506	1	310
709	1	324
1597	10	2649
2430	1	770
560	1	1489
485	14	2037
783	13	351
1976	6	1580
407	0	1419
1317	1	1599
1275	1	1586
1999	14	1592
550	1	1669
1729	0	1496
620	13	487
2342	0	2027
1378	18	1211
2547	14	2450
1394	0	681
991	1	591
788	1	836
73	12	1852
612	1	1489
1855	0	1831
237	1	2485
865	16	1553
1404	1	310
105	13	1937
2277	6	1035
1950	1	1599
336	26	1529
407	1	324
2082	14	2037
602	1	324
513	16	1586
741	0	1419
568	6	2136
1792	1	324
2459	1	310
1329	1	1553
2050	0	1847
607	6	749
2333	1	1553
198	1	1553
2279	0	716
1709	10	1396
1448	15	2457
1733	1	2242
1849	2	637
2231	15	2457
4	23	225
1556	0	2438
597	40	2139
714	6	1606
2402	1	1553
2015	7	324
699	1	1232
1729	0	438
1619	1	591
810	1	1626
566	3	648
1627	7	1232
1530	16	1586
1161	11	1656
1632	2	2361
2480	1	517
545	6	2037
2664	2	637
1855	0	1419
720	7	310
612	1	1626
1110	1	1489
709	1	1553
2662	6	49
1969	1	1424
1970	14	1593
1989	6	1035
1181	1	1424
1481	0	1834
1291	1	324
774	1	2156
1364	16	1553
2277	6	576
2290	1	1599
2360	6	2037
1700	1	310
509	16	324
20	0	1645
2073	3	1922
1329	1	591
220	19	2139
2067	19	547
741	0	18
2350	4	2478
833	16	310
1159	13	269
1221	5	2127
2283	30	2361
2110	1	2242
547	7	1669
2443	0	716
1792	1	1586
158	1	1586
1971	1	1553
2256	1	1599
2067	1	1489
1524	1	1553
308	1	310
1718	4	1529
198	1	310
2408	3	1164
1465	14	0
749	7	1232
1663	2	637
2476	3	1378
2223	1	1424
1168	1	591
2104	0	1496
2405	1	1586
2114	2	2361
176	6	1243
2032	6	2136
1699	1	1232
550	1	1599
1801	0	1419
2616	0	601
186	0	523
1301	7	1489
459	2	637
2417	1	1626
1709	1	1626
1619	1	1599
1268	0	567
2398	14	2124
620	13	374
1630	9	814
1125	15	597
2336	1	324
1159	13	1859
670	21	1620
2302	2	2361
2415	0	2153
60	0	1043
